Category,model_name,strategy_name,level,n_predictions,n_correct,accuracy,mean_latency_ms,median_latency_ms,accuracy_pct
Entertainment,gemma3-12b,dynamic_few_shot_k3,1,32,31,0.96875,10835.53125,10726.5,96.88
Entertainment,gemma3-12b,dynamic_few_shot_k3,2,29,22,0.7586206896551724,11892.965517241379,11977.0,75.86
Entertainment,gemma3-12b,dynamic_few_shot_k3,3,20,18,0.9,10567.2,9998.5,90.0
Entertainment,gemma3-12b,dynamic_few_shot_k3,4,14,13,0.9285714285714286,11234.285714285714,11388.5,92.86
Entertainment,gemma3-12b,dynamic_few_shot_k3,5,14,14,1.0,11357.142857142857,11201.0,100.0
Entertainment,gemma3-12b,dynamic_few_shot_k3,6,16,14,0.875,11788.9375,11690.5,87.5
Entertainment,gemma3-12b,dynamic_few_shot_k3,7,13,13,1.0,12791.384615384615,13457.0,100.0
Entertainment,gemma3-12b,dynamic_few_shot_k3,8,17,17,1.0,12669.235294117647,11579.0,100.0
Entertainment,gemma3-12b,dynamic_few_shot_k3,9,9,9,1.0,12068.0,12038.0,100.0
Entertainment,gemma3-12b,dynamic_few_shot_k3,10,12,11,0.9166666666666666,13128.25,12879.0,91.67
Entertainment,gemma3-12b,dynamic_few_shot_k3,11,5,5,1.0,12135.6,12198.0,100.0
Entertainment,gemma3-12b,dynamic_few_shot_k3,12,5,4,0.8,12261.8,11976.0,80.0
Entertainment,gemma3-12b,dynamic_few_shot_k3,13,3,2,0.6666666666666666,11373.333333333334,11718.0,66.67
Entertainment,gemma3-12b,dynamic_few_shot_k3,14,4,3,0.75,13457.5,13841.5,75.0
Entertainment,gemma3-12b,dynamic_few_shot_k3,15,7,6,0.8571428571428571,12102.57142857143,11504.0,85.71
Entertainment,gemma3-12b,zero_shot,1,32,29,0.90625,12402.8125,12129.0,90.62
Entertainment,gemma3-12b,zero_shot,2,29,23,0.7931034482758621,12730.034482758621,12887.0,79.31
Entertainment,gemma3-12b,zero_shot,3,20,16,0.8,12981.7,13073.0,80.0
Entertainment,gemma3-12b,zero_shot,4,14,12,0.8571428571428571,12786.42857142857,12585.0,85.71
Entertainment,gemma3-12b,zero_shot,5,14,13,0.9285714285714286,12845.42857142857,12443.0,92.86
Entertainment,gemma3-12b,zero_shot,6,16,12,0.75,12249.1875,12287.0,75.0
Entertainment,gemma3-12b,zero_shot,7,13,13,1.0,12200.692307692309,12450.0,100.0
Entertainment,gemma3-12b,zero_shot,8,17,17,1.0,12552.29411764706,12271.0,100.0
Entertainment,gemma3-12b,zero_shot,9,9,8,0.8888888888888888,13374.333333333334,13186.0,88.89
Entertainment,gemma3-12b,zero_shot,10,12,12,1.0,12795.583333333334,13125.0,100.0
Entertainment,gemma3-12b,zero_shot,11,5,5,1.0,12607.0,12904.0,100.0
Entertainment,gemma3-12b,zero_shot,12,5,4,0.8,12487.8,13057.0,80.0
Entertainment,gemma3-12b,zero_shot,13,3,2,0.6666666666666666,13814.666666666666,12501.0,66.67
Entertainment,gemma3-12b,zero_shot,14,4,3,0.75,13003.0,12761.5,75.0
Entertainment,gemma3-12b,zero_shot,15,7,7,1.0,13305.57142857143,13167.0,100.0
Entertainment,phi4-14b,dynamic_few_shot_k3,1,32,29,0.90625,7488.84375,7594.0,90.62
Entertainment,phi4-14b,dynamic_few_shot_k3,2,29,25,0.8620689655172413,8026.172413793103,8143.0,86.21
Entertainment,phi4-14b,dynamic_few_shot_k3,3,20,16,0.8,7363.0,7283.5,80.0
Entertainment,phi4-14b,dynamic_few_shot_k3,4,14,10,0.7142857142857143,8069.714285714285,8083.5,71.43
Entertainment,phi4-14b,dynamic_few_shot_k3,5,14,12,0.8571428571428571,7181.5,7005.5,85.71
Entertainment,phi4-14b,dynamic_few_shot_k3,6,16,14,0.875,8452.125,8650.5,87.5
Entertainment,phi4-14b,dynamic_few_shot_k3,7,13,13,1.0,7725.538461538462,7528.0,100.0
Entertainment,phi4-14b,dynamic_few_shot_k3,8,17,17,1.0,8354.117647058823,8765.0,100.0
Entertainment,phi4-14b,dynamic_few_shot_k3,9,9,9,1.0,8430.111111111111,8346.0,100.0
Entertainment,phi4-14b,dynamic_few_shot_k3,10,12,10,0.8333333333333334,7729.0,7259.0,83.33
Entertainment,phi4-14b,dynamic_few_shot_k3,11,5,5,1.0,7462.8,7373.0,100.0
Entertainment,phi4-14b,dynamic_few_shot_k3,12,5,5,1.0,8053.2,8009.0,100.0
Entertainment,phi4-14b,dynamic_few_shot_k3,13,3,3,1.0,7962.333333333333,7821.0,100.0
Entertainment,phi4-14b,dynamic_few_shot_k3,14,4,4,1.0,8086.25,7843.5,100.0
Entertainment,phi4-14b,dynamic_few_shot_k3,15,7,7,1.0,7845.714285714285,7397.0,100.0
Entertainment,phi4-14b,zero_shot,1,32,28,0.875,8299.34375,8024.5,87.5
Entertainment,phi4-14b,zero_shot,2,29,24,0.8275862068965517,9154.275862068966,9224.0,82.76
Entertainment,phi4-14b,zero_shot,3,20,17,0.85,9378.9,9644.5,85.0
Entertainment,phi4-14b,zero_shot,4,14,10,0.7142857142857143,8979.785714285714,8694.0,71.43
Entertainment,phi4-14b,zero_shot,5,14,12,0.8571428571428571,8728.57142857143,8831.0,85.71
Entertainment,phi4-14b,zero_shot,6,16,14,0.875,9747.6875,10088.0,87.5
Entertainment,phi4-14b,zero_shot,7,13,13,1.0,9147.384615384615,9219.0,100.0
Entertainment,phi4-14b,zero_shot,8,17,17,1.0,8943.529411764706,8852.0,100.0
Entertainment,phi4-14b,zero_shot,9,9,9,1.0,9402.888888888889,9799.0,100.0
Entertainment,phi4-14b,zero_shot,10,12,10,0.8333333333333334,8524.083333333334,8665.0,83.33
Entertainment,phi4-14b,zero_shot,11,5,5,1.0,10365.6,10235.0,100.0
Entertainment,phi4-14b,zero_shot,12,5,5,1.0,8474.4,8437.0,100.0
Entertainment,phi4-14b,zero_shot,13,3,3,1.0,9707.666666666666,9734.0,100.0
