Category,model_name,strategy_name,Status,n_predictions,mean_latency_ms,median_latency_ms,min_latency_ms,p25_latency_ms,p75_latency_ms,max_latency_ms
Entertainment,gemma3-12b,dynamic_few_shot_k3,Correct,182,11743.703296703297,11720.5,5267,9685.5,13521.25,18478
Entertainment,gemma3-12b,dynamic_few_shot_k3,Incorrect,18,11833.166666666666,11728.0,4553,9834.0,14675.75,16850
Entertainment,gemma3-12b,dynamic_few_shot_k3,Total,200,11751.755,11720.5,4553,9690.5,13546.5,18478
Entertainment,gemma3-12b,zero_shot,Correct,176,12639.352272727272,12461.0,9064,11367.0,13698.25,18384
Entertainment,gemma3-12b,zero_shot,Incorrect,24,13082.708333333334,12891.5,10199,11828.5,14899.25,16587
Entertainment,gemma3-12b,zero_shot,Total,200,12692.555,12478.5,9064,11367.0,13786.0,18384
Entertainment,phi4-14b,dynamic_few_shot_k3,Correct,179,7828.3575418994415,7816.0,4544,6761.5,9004.0,12382
Entertainment,phi4-14b,dynamic_few_shot_k3,Incorrect,21,7949.523809523809,8035.0,4464,6310.0,9584.0,11676
Entertainment,phi4-14b,dynamic_few_shot_k3,Total,200,7841.08,7818.5,4464,6676.5,9043.25,12382
Entertainment,phi4-14b,zero_shot,Correct,178,8981.303370786516,9044.5,5731,7944.5,10001.25,13391
Entertainment,phi4-14b,zero_shot,Incorrect,22,9078.5,8796.5,6441,7458.0,10582.75,13479
Entertainment,phi4-14b,zero_shot,Total,200,8991.995,9029.0,5731,7872.5,10033.0,13479
Entertainment,qwen3-14b,dynamic_few_shot_k3,Correct,184,3546.4239130434785,3416.5,2499,3110.5,3806.0,8587
Entertainment,qwen3-14b,dynamic_few_shot_k3,Incorrect,16,3456.4375,3265.0,2646,2989.0,3506.25,6890
Entertainment,qwen3-14b,dynamic_few_shot_k3,Total,200,3539.225,3403.0,2499,3058.25,3780.75,8587
Entertainment,qwen3-14b,wiki_rag,Correct,174,13272.764367816091,13184.5,5661,11842.75,14441.75,60528
Entertainment,qwen3-14b,wiki_rag,Incorrect,26,13314.692307692309,13743.5,9154,11295.0,14921.0,17013
Entertainment,qwen3-14b,wiki_rag,Total,200,13278.215,13271.0,5661,11834.0,14459.75,60528
