Category,model_name,strategy_name,level,n_predictions,n_correct,accuracy,mean_latency_ms,median_latency_ms,accuracy_pct
History,gemma3-12b,dynamic_few_shot_k3,1,21,19,0.9047619047619048,11713.761904761905,11290.0,90.48
History,gemma3-12b,dynamic_few_shot_k3,2,21,18,0.8571428571428571,10728.47619047619,10949.0,85.71
History,gemma3-12b,dynamic_few_shot_k3,3,12,11,0.9166666666666666,12030.583333333334,11843.0,91.67
History,gemma3-12b,dynamic_few_shot_k3,4,12,11,0.9166666666666666,12256.166666666666,13058.0,91.67
History,gemma3-12b,dynamic_few_shot_k3,5,17,17,1.0,10906.411764705883,11127.0,100.0
History,gemma3-12b,dynamic_few_shot_k3,6,23,21,0.9130434782608695,13732.217391304348,14758.0,91.3
History,gemma3-12b,dynamic_few_shot_k3,7,18,17,0.9444444444444444,12288.0,11935.0,94.44
History,gemma3-12b,dynamic_few_shot_k3,8,15,10,0.6666666666666666,12084.8,12168.0,66.67
History,gemma3-12b,dynamic_few_shot_k3,9,7,7,1.0,13627.0,13117.0,100.0
History,gemma3-12b,dynamic_few_shot_k3,10,5,4,0.8,13132.4,12674.0,80.0
History,gemma3-12b,dynamic_few_shot_k3,11,11,8,0.7272727272727273,12206.727272727272,12276.0,72.73
History,gemma3-12b,dynamic_few_shot_k3,12,15,13,0.8666666666666667,12359.933333333332,12258.0,86.67
History,gemma3-12b,dynamic_few_shot_k3,13,8,7,0.875,12959.25,13672.0,87.5
History,gemma3-12b,dynamic_few_shot_k3,14,6,6,1.0,11614.166666666666,11017.5,100.0
History,gemma3-12b,dynamic_few_shot_k3,15,9,9,1.0,13521.222222222223,13604.0,100.0
History,gemma3-12b,wiki_rag,1,21,19,0.9047619047619048,16522.0,17073.0,90.48
History,gemma3-12b,wiki_rag,2,21,18,0.8571428571428571,15796.904761904761,16263.0,85.71
History,gemma3-12b,wiki_rag,3,12,10,0.8333333333333334,16144.75,16490.5,83.33
History,gemma3-12b,wiki_rag,4,12,12,1.0,15203.333333333334,16368.0,100.0
History,gemma3-12b,wiki_rag,5,17,17,1.0,16135.176470588236,16201.0,100.0
History,gemma3-12b,wiki_rag,6,23,20,0.8695652173913043,15796.478260869566,15866.0,86.96
History,gemma3-12b,wiki_rag,7,18,16,0.8888888888888888,15319.055555555555,15819.0,88.89
History,gemma3-12b,wiki_rag,8,15,12,0.8,15271.2,14798.0,80.0
History,gemma3-12b,wiki_rag,9,7,7,1.0,15974.285714285714,15394.0,100.0
History,gemma3-12b,wiki_rag,10,5,5,1.0,16462.8,16823.0,100.0
History,gemma3-12b,wiki_rag,11,11,11,1.0,15486.454545454546,15367.0,100.0
History,gemma3-12b,wiki_rag,12,15,14,0.9333333333333333,16984.066666666666,17583.0,93.33
History,gemma3-12b,wiki_rag,13,8,7,0.875,16124.875,16851.0,87.5
History,gemma3-12b,wiki_rag,14,6,6,1.0,15846.666666666666,15892.5,100.0
History,gemma3-12b,wiki_rag,15,9,9,1.0,16878.444444444445,17415.0,100.0
History,granite-8b,dynamic_few_shot_k3,1,21,19,0.9047619047619048,5717.9047619047615,5737.0,90.48
History,granite-8b,dynamic_few_shot_k3,2,21,17,0.8095238095238095,5549.428571428572,4937.0,80.95
History,granite-8b,dynamic_few_shot_k3,3,12,12,1.0,5317.916666666667,5107.0,100.0
History,granite-8b,dynamic_few_shot_k3,4,12,11,0.9166666666666666,5133.416666666667,4811.0,91.67
History,granite-8b,dynamic_few_shot_k3,5,17,17,1.0,5012.058823529412,4485.0,100.0
History,granite-8b,dynamic_few_shot_k3,6,23,20,0.8695652173913043,5903.652173913043,5554.0,86.96
History,granite-8b,dynamic_few_shot_k3,7,18,16,0.8888888888888888,5633.388888888889,5839.0,88.89
History,granite-8b,dynamic_few_shot_k3,8,15,10,0.6666666666666666,5954.266666666666,5852.0,66.67
History,granite-8b,dynamic_few_shot_k3,9,7,7,1.0,5378.428571428572,5203.0,100.0
History,granite-8b,dynamic_few_shot_k3,10,5,4,0.8,5644.4,4502.0,80.0
History,granite-8b,dynamic_few_shot_k3,11,11,8,0.7272727272727273,6185.363636363636,5048.0,72.73
History,granite-8b,dynamic_few_shot_k3,12,15,14,0.9333333333333333,5713.333333333333,5569.0,93.33
History,granite-8b,dynamic_few_shot_k3,13,8,7,0.875,5949.375,6350.0,87.5
History,granite-8b,dynamic_few_shot_k3,14,6,4,0.6666666666666666,6247.5,6279.0,66.67
History,granite-8b,dynamic_few_shot_k3,15,9,9,1.0,6441.222222222223,6750.0,100.0
History,granite-8b,wiki_rag,1,21,20,0.9523809523809523,8098.238095238095,8357.0,95.24
History,granite-8b,wiki_rag,2,21,20,0.9523809523809523,7938.285714285715,7673.0,95.24
History,granite-8b,wiki_rag,3,12,10,0.8333333333333334,8802.25,8330.0,83.33
History,granite-8b,wiki_rag,4,12,12,1.0,10505.75,7484.5,100.0
History,granite-8b,wiki_rag,5,17,17,1.0,7823.764705882353,8060.0,100.0
History,granite-8b,wiki_rag,6,23,21,0.9130434782608695,7961.0,7667.0,91.3
History,granite-8b,wiki_rag,7,18,16,0.8888888888888888,8349.222222222223,8596.5,88.89
History,granite-8b,wiki_rag,8,15,12,0.8,7987.333333333333,8086.0,80.0
History,granite-8b,wiki_rag,9,7,7,1.0,7553.428571428572,7658.0,100.0
History,granite-8b,wiki_rag,10,5,4,0.8,8538.6,8940.0,80.0
History,granite-8b,wiki_rag,11,11,9,0.8181818181818182,8883.90909090909,9315.0,81.82
History,granite-8b,wiki_rag,12,15,13,0.8666666666666667,8604.933333333332,8377.0,86.67
History,granite-8b,wiki_rag,13,8,7,0.875,8092.0,8435.5,87.5
History,granite-8b,wiki_rag,14,6,6,1.0,8372.833333333334,8188.0,100.0
History,granite-8b,wiki_rag,15,9,9,1.0,9090.111111111111,9098.0,100.0
History,phi4-14b,dynamic_few_shot_k3,1,21,20,0.9523809523809523,8117.238095238095,8143.0,95.24
History,phi4-14b,dynamic_few_shot_k3,2,21,18,0.8571428571428571,8264.904761904761,7657.0,85.71
History,phi4-14b,dynamic_few_shot_k3,3,12,11,0.9166666666666666,8735.25,8923.5,91.67
History,phi4-14b,dynamic_few_shot_k3,4,12,11,0.9166666666666666,7230.666666666667,6984.5,91.67
History,phi4-14b,dynamic_few_shot_k3,5,17,17,1.0,7609.235294117647,7505.0,100.0
History,phi4-14b,dynamic_few_shot_k3,6,23,21,0.9130434782608695,8313.478260869566,8387.0,91.3
History,phi4-14b,dynamic_few_shot_k3,7,18,17,0.9444444444444444,8433.888888888889,8005.0,94.44
History,phi4-14b,dynamic_few_shot_k3,8,15,13,0.8666666666666667,7930.6,7495.0,86.67
History,phi4-14b,dynamic_few_shot_k3,9,7,7,1.0,8005.285714285715,7491.0,100.0
History,phi4-14b,dynamic_few_shot_k3,10,5,4,0.8,9079.8,9447.0,80.0
History,phi4-14b,dynamic_few_shot_k3,11,11,8,0.7272727272727273,8031.727272727273,8493.0,72.73
History,phi4-14b,dynamic_few_shot_k3,12,15,14,0.9333333333333333,8265.533333333333,8112.0,93.33
