Category,model_name,strategy_name,Status,n_predictions,mean_latency_ms,median_latency_ms,min_latency_ms,p25_latency_ms,p75_latency_ms,max_latency_ms
History,gemma3-12b,dynamic_few_shot_k3,Correct,178,12155.157303370786,12189.5,5342,10469.25,14160.25,18493
History,gemma3-12b,dynamic_few_shot_k3,Incorrect,22,12663.181818181818,12153.0,6477,11072.25,14587.5,18719
History,gemma3-12b,dynamic_few_shot_k3,Total,200,12211.04,12189.5,5342,10537.5,14184.75,18719
History,gemma3-12b,wiki_rag,Correct,183,15898.469945355191,16231.0,5366,14396.5,17654.5,21121
History,gemma3-12b,wiki_rag,Incorrect,17,16653.70588235294,17413.0,12367,15005.0,18162.0,19733
History,gemma3-12b,wiki_rag,Total,200,15962.665,16265.0,5366,14452.0,17727.5,21121
History,granite-8b,dynamic_few_shot_k3,Correct,175,5584.308571428572,5290.0,2804,4287.5,6785.0,9292
History,granite-8b,dynamic_few_shot_k3,Incorrect,25,6365.64,6274.0,3659,4757.0,7672.0,10798
History,granite-8b,dynamic_few_shot_k3,Total,200,5681.975,5432.5,2804,4316.25,6881.75,10798
History,granite-8b,wiki_rag,Correct,183,8357.24043715847,8210.0,4619,7223.5,9161.0,44901
History,granite-8b,wiki_rag,Incorrect,17,8496.411764705883,8567.0,4405,7667.0,9636.0,11735
History,granite-8b,wiki_rag,Total,200,8369.07,8260.0,4405,7253.0,9172.0,44901
History,phi4-14b,dynamic_few_shot_k3,Correct,183,8143.754098360656,8056.0,5412,7180.0,9223.0,11058
History,phi4-14b,dynamic_few_shot_k3,Incorrect,17,8907.411764705883,9064.0,6155,7554.0,10237.0,11206
History,phi4-14b,dynamic_few_shot_k3,Total,200,8208.665,8130.5,5412,7184.25,9379.75,11206
History,phi4-14b,zero_shot,Correct,183,8381.081967213115,8283.0,5568,7551.5,9208.0,12003
History,phi4-14b,zero_shot,Incorrect,17,8675.823529411764,8838.0,6034,7309.0,9785.0,11192
History,phi4-14b,zero_shot,Total,200,8406.135,8319.0,5568,7538.5,9224.0,12003
