Category,model_name,strategy_name,level,n_predictions,n_correct,accuracy,mean_latency_ms,median_latency_ms,accuracy_pct
Math,granite-8b,calc_react,1,60,51,0.85,9238.833333333334,8049.0,85.0
Math,granite-8b,calc_react,2,44,39,0.8863636363636364,9094.477272727272,7288.0,88.64
Math,granite-8b,calc_react,3,36,30,0.8333333333333334,9809.388888888889,8312.0,83.33
Math,granite-8b,calc_react,4,19,14,0.7368421052631579,11252.315789473685,11186.0,73.68
Math,granite-8b,calc_react,5,15,14,0.9333333333333333,9399.466666666667,8350.0,93.33
Math,granite-8b,calc_react,6,8,7,0.875,7866.5,7147.5,87.5
Math,granite-8b,calc_react,7,4,2,0.5,7697.25,8027.5,50.0
Math,granite-8b,calc_react,8,2,1,0.5,8618.5,8618.5,50.0
Math,granite-8b,calc_react,9,3,3,1.0,12935.0,8366.0,100.0
Math,granite-8b,calc_react,10,5,3,0.6,10076.6,9142.0,60.0
Math,granite-8b,calc_react,11,2,2,1.0,5134.0,5134.0,100.0
Math,granite-8b,calc_react,13,1,1,1.0,6320.0,6320.0,100.0
Math,granite-8b,calc_react,15,1,1,1.0,8679.0,8679.0,100.0
Math,granite-8b,dynamic_few_shot_k3,1,60,49,0.8166666666666667,10098.016666666666,9456.0,81.67
Math,granite-8b,dynamic_few_shot_k3,2,44,34,0.7727272727272727,9310.886363636364,7981.0,77.27
Math,granite-8b,dynamic_few_shot_k3,3,36,26,0.7222222222222222,9794.805555555555,9000.0,72.22
Math,granite-8b,dynamic_few_shot_k3,4,19,13,0.6842105263157895,10714.684210526315,9740.0,68.42
Math,granite-8b,dynamic_few_shot_k3,5,15,12,0.8,8700.133333333333,8398.0,80.0
Math,granite-8b,dynamic_few_shot_k3,6,8,7,0.875,8489.25,8929.5,87.5
Math,granite-8b,dynamic_few_shot_k3,7,4,3,0.75,8254.0,7834.5,75.0
Math,granite-8b,dynamic_few_shot_k3,8,2,0,0.0,10320.5,10320.5,0.0
Math,granite-8b,dynamic_few_shot_k3,9,3,3,1.0,12272.333333333334,9628.0,100.0
Math,granite-8b,dynamic_few_shot_k3,10,5,4,0.8,10117.6,8577.0,80.0
Math,granite-8b,dynamic_few_shot_k3,11,2,2,1.0,5479.5,5479.5,100.0
Math,granite-8b,dynamic_few_shot_k3,13,1,1,1.0,6760.0,6760.0,100.0
Math,granite-8b,dynamic_few_shot_k3,15,1,0,0.0,13231.0,13231.0,0.0
Math,phi4-14b,calc_react,1,60,56,0.9333333333333333,9927.066666666668,8651.5,93.33
Math,phi4-14b,calc_react,2,44,42,0.9545454545454546,9195.136363636364,7557.0,95.45
Math,phi4-14b,calc_react,3,36,29,0.8055555555555556,9669.833333333334,8168.0,80.56
Math,phi4-14b,calc_react,4,19,17,0.8947368421052632,13069.315789473685,13162.0,89.47
Math,phi4-14b,calc_react,5,15,15,1.0,8621.4,7542.0,100.0
Math,phi4-14b,calc_react,6,8,8,1.0,7864.75,6016.0,100.0
Math,phi4-14b,calc_react,7,4,4,1.0,9095.25,6980.0,100.0
Math,phi4-14b,calc_react,8,2,1,0.5,13769.5,13769.5,50.0
Math,phi4-14b,calc_react,9,3,3,1.0,14091.333333333334,7376.0,100.0
Math,phi4-14b,calc_react,10,5,4,0.8,11672.2,14491.0,80.0
Math,phi4-14b,calc_react,11,2,2,1.0,6912.0,6912.0,100.0
Math,phi4-14b,calc_react,13,1,1,1.0,8006.0,8006.0,100.0
Math,phi4-14b,calc_react,15,1,1,1.0,17305.0,17305.0,100.0
Math,phi4-14b,dynamic_few_shot_k3,1,60,49,0.8166666666666667,14752.7,14692.0,81.67
Math,phi4-14b,dynamic_few_shot_k3,2,44,39,0.8863636363636364,14143.704545454546,13310.5,88.64
Math,phi4-14b,dynamic_few_shot_k3,3,36,29,0.8055555555555556,13818.472222222223,13930.5,80.56
Math,phi4-14b,dynamic_few_shot_k3,4,19,11,0.5789473684210527,16124.263157894737,14652.0,57.89
Math,phi4-14b,dynamic_few_shot_k3,5,15,14,0.9333333333333333,11806.133333333333,11862.0,93.33
Math,phi4-14b,dynamic_few_shot_k3,6,8,8,1.0,12449.25,12212.0,100.0
Math,phi4-14b,dynamic_few_shot_k3,7,4,3,0.75,12010.75,10792.0,75.0
Math,phi4-14b,dynamic_few_shot_k3,8,2,1,0.5,14965.0,14965.0,50.0
Math,phi4-14b,dynamic_few_shot_k3,9,3,3,1.0,15992.333333333334,13225.0,100.0
Math,phi4-14b,dynamic_few_shot_k3,10,5,4,0.8,16755.2,15591.0,80.0
Math,phi4-14b,dynamic_few_shot_k3,11,2,2,1.0,9213.5,9213.5,100.0
