Category,model_name,strategy_name,Status,n_predictions,mean_latency_ms,median_latency_ms,min_latency_ms,p25_latency_ms,p75_latency_ms,max_latency_ms
Math,granite-8b,calc_react,Correct,168,8835.761904761905,7777.0,3356,6027.25,11023.75,25379
Math,granite-8b,calc_react,Incorrect,32,12606.75,11554.5,5008,7808.25,17023.25,21863
Math,granite-8b,calc_react,Total,200,9439.12,8085.5,3356,6222.75,12081.0,25379
Math,granite-8b,dynamic_few_shot_k3,Correct,154,9200.948051948051,8459.5,2954,6814.75,11454.5,17793
Math,granite-8b,dynamic_few_shot_k3,Incorrect,46,11418.130434782608,11604.5,5234,8680.75,13709.25,18272
Math,granite-8b,dynamic_few_shot_k3,Total,200,9710.9,9038.5,2954,7189.0,12281.0,18272
Math,phi4-14b,calc_react,Correct,183,9330.191256830602,7839.0,3946,6011.0,10624.0,34572
Math,phi4-14b,calc_react,Incorrect,17,16773.235294117647,15731.0,6763,10937.0,23918.0,28432
Math,phi4-14b,calc_react,Total,200,9962.85,8119.0,3946,6125.0,11719.5,34572
Math,phi4-14b,dynamic_few_shot_k3,Correct,164,13467.579268292682,12467.0,6639,10256.0,16118.0,24999
Math,phi4-14b,dynamic_few_shot_k3,Incorrect,36,17738.333333333332,17149.5,9860,14854.5,21559.25,25011
Math,phi4-14b,dynamic_few_shot_k3,Total,200,14236.315,13515.5,6639,10622.0,17186.0,25011
Math,qwen3-14b,dynamic_few_shot_k3,Correct,154,5066.461038961039,3210.5,2558,2908.0,5270.0,22842
Math,qwen3-14b,dynamic_few_shot_k3,Incorrect,46,4764.891304347826,3010.0,2612,2798.0,3536.75,18900
Math,qwen3-14b,dynamic_few_shot_k3,Total,200,4997.1,3149.5,2558,2891.0,4554.75,22842
Math,qwen3-14b,zero_shot,Correct,177,12388.926553672316,11794.0,5742,9524.0,14375.0,27405
Math,qwen3-14b,zero_shot,Incorrect,23,18336.304347826088,17586.0,10340,13740.5,22254.0,26425
Math,qwen3-14b,zero_shot,Total,200,13072.875,12124.5,5742,9747.5,15737.25,27405
