Category,model_name,strategy_name,level,n_predictions,n_correct,accuracy,mean_latency_ms,median_latency_ms,accuracy_pct
News,gemma3-12b,dynamic_few_shot_k3,1,59,34,0.576271186440678,6158.71186440678,5922.0,57.63
News,gemma3-12b,dynamic_few_shot_k3,2,43,28,0.6511627906976745,5867.186046511628,5650.0,65.12
News,gemma3-12b,dynamic_few_shot_k3,3,31,20,0.6451612903225806,6137.709677419355,5875.0,64.52
News,gemma3-12b,dynamic_few_shot_k3,4,17,14,0.8235294117647058,6147.0,6044.0,82.35
News,gemma3-12b,dynamic_few_shot_k3,5,14,8,0.5714285714285714,6122.5,6278.5,57.14
News,gemma3-12b,dynamic_few_shot_k3,6,14,14,1.0,7382.071428571428,7756.0,100.0
News,gemma3-12b,dynamic_few_shot_k3,7,6,6,1.0,6750.5,6176.5,100.0
News,gemma3-12b,dynamic_few_shot_k3,8,4,4,1.0,7865.25,7604.5,100.0
News,gemma3-12b,dynamic_few_shot_k3,9,4,4,1.0,7312.5,7107.5,100.0
News,gemma3-12b,dynamic_few_shot_k3,10,3,3,1.0,7483.0,7739.0,100.0
News,gemma3-12b,dynamic_few_shot_k3,11,2,1,0.5,5472.0,5472.0,50.0
News,gemma3-12b,dynamic_few_shot_k3,12,2,0,0.0,7536.5,7536.5,0.0
News,gemma3-12b,dynamic_few_shot_k3,15,1,0,0.0,6438.0,6438.0,0.0
News,gemma3-12b,zero_shot,1,59,40,0.6779661016949152,13419.203389830509,13496.0,67.8
News,gemma3-12b,zero_shot,2,43,29,0.6744186046511628,13028.697674418605,13231.0,67.44
News,gemma3-12b,zero_shot,3,31,22,0.7096774193548387,13285.0,12979.0,70.97
News,gemma3-12b,zero_shot,4,17,10,0.5882352941176471,13894.176470588236,13536.0,58.82
News,gemma3-12b,zero_shot,5,14,7,0.5,12862.214285714286,12409.0,50.0
News,gemma3-12b,zero_shot,6,14,11,0.7857142857142857,12318.5,11926.5,78.57
News,gemma3-12b,zero_shot,7,6,4,0.6666666666666666,13498.5,13336.0,66.67
News,gemma3-12b,zero_shot,8,4,3,0.75,13368.0,13226.0,75.0
News,gemma3-12b,zero_shot,9,4,3,0.75,14671.0,14239.0,75.0
News,gemma3-12b,zero_shot,10,3,2,0.6666666666666666,13920.333333333334,14457.0,66.67
News,gemma3-12b,zero_shot,11,2,1,0.5,12665.5,12665.5,50.0
News,gemma3-12b,zero_shot,12,2,0,0.0,14904.5,14904.5,0.0
News,gemma3-12b,zero_shot,15,1,0,0.0,15724.0,15724.0,0.0
News,phi4-14b,dynamic_few_shot_k3,1,59,40,0.6779661016949152,5668.186440677966,5384.0,67.8
News,phi4-14b,dynamic_few_shot_k3,2,43,25,0.5813953488372093,5978.953488372093,5694.0,58.14
News,phi4-14b,dynamic_few_shot_k3,3,31,22,0.7096774193548387,5858.677419354839,5087.0,70.97
News,phi4-14b,dynamic_few_shot_k3,4,17,14,0.8235294117647058,6281.882352941177,5865.0,82.35
News,phi4-14b,dynamic_few_shot_k3,5,14,7,0.5,6045.071428571428,6036.0,50.0
News,phi4-14b,dynamic_few_shot_k3,6,14,13,0.9285714285714286,6759.357142857143,6507.0,92.86
News,phi4-14b,dynamic_few_shot_k3,7,6,6,1.0,6423.0,6165.5,100.0
News,phi4-14b,dynamic_few_shot_k3,8,4,4,1.0,7607.75,7005.5,100.0
News,phi4-14b,dynamic_few_shot_k3,9,4,4,1.0,7406.0,6767.0,100.0
News,phi4-14b,dynamic_few_shot_k3,10,3,3,1.0,6942.666666666667,6831.0,100.0
News,phi4-14b,dynamic_few_shot_k3,11,2,1,0.5,7617.0,7617.0,50.0
News,phi4-14b,dynamic_few_shot_k3,12,2,0,0.0,5896.5,5896.5,0.0
News,phi4-14b,dynamic_few_shot_k3,15,1,0,0.0,4853.0,4853.0,0.0
News,phi4-14b,wiki_rag,1,59,43,0.7288135593220338,9018.169491525423,8892.0,72.88
News,phi4-14b,wiki_rag,2,43,25,0.5813953488372093,8974.209302325582,9104.0,58.14
News,phi4-14b,wiki_rag,3,31,19,0.6129032258064516,8756.806451612903,8703.0,61.29
News,phi4-14b,wiki_rag,4,17,11,0.6470588235294118,9174.941176470587,9420.0,64.71
News,phi4-14b,wiki_rag,5,14,10,0.7142857142857143,8719.57142857143,8789.5,71.43
News,phi4-14b,wiki_rag,6,14,13,0.9285714285714286,8654.0,8673.0,92.86
News,phi4-14b,wiki_rag,7,6,6,1.0,9611.0,9750.5,100.0
News,phi4-14b,wiki_rag,8,4,3,0.75,8544.25,8497.5,75.0
News,phi4-14b,wiki_rag,9,4,2,0.5,8551.0,8420.5,50.0
News,phi4-14b,wiki_rag,10,3,3,1.0,10276.333333333334,11042.0,100.0
News,phi4-14b,wiki_rag,11,2,1,0.5,9496.0,9496.0,50.0
News,phi4-14b,wiki_rag,12,2,0,0.0,8033.5,8033.5,0.0
News,phi4-14b,wiki_rag,15,1,0,0.0,8535.0,8535.0,0.0
News,phi4-14b,zero_shot,1,59,35,0.5932203389830508,9665.457627118643,9833.0,59.32
News,phi4-14b,zero_shot,2,43,28,0.6511627906976745,9865.651162790698,9894.0,65.12
News,phi4-14b,zero_shot,3,31,23,0.7419354838709677,9646.90322580645,9977.0,74.19
News,phi4-14b,zero_shot,4,17,12,0.7058823529411765,9586.529411764706,10041.0,70.59
News,phi4-14b,zero_shot,5,14,9,0.6428571428571429,8738.285714285714,8669.0,64.29
News,phi4-14b,zero_shot,6,14,12,0.8571428571428571,8982.142857142857,8668.5,85.71
News,phi4-14b,zero_shot,7,6,6,1.0,9924.5,10089.5,100.0
News,phi4-14b,zero_shot,8,4,4,1.0,9171.25,9073.0,100.0
News,phi4-14b,zero_shot,9,4,3,0.75,10116.25,9900.5,75.0
News,phi4-14b,zero_shot,10,3,2,0.6666666666666666,10040.333333333334,9230.0,66.67
News,phi4-14b,zero_shot,11,2,1,0.5,7918.5,7918.5,50.0
News,phi4-14b,zero_shot,12,2,0,0.0,11732.5,11732.5,0.0
News,phi4-14b,zero_shot,15,1,0,0.0,9592.0,9592.0,0.0
