Category,model_name,strategy_name,level,n_predictions,n_correct,accuracy,mean_latency_ms,median_latency_ms,accuracy_pct
Science,gemma3-12b,zero_shot,1,7,7,1.0,11289.714285714286,10448.0,100.0
Science,gemma3-12b,zero_shot,2,9,9,1.0,11861.333333333334,11674.0,100.0
Science,gemma3-12b,zero_shot,3,10,10,1.0,12014.8,11807.0,100.0
Science,gemma3-12b,zero_shot,4,15,14,0.9333333333333333,12186.2,12051.0,93.33
Science,gemma3-12b,zero_shot,5,7,6,0.8571428571428571,12438.857142857143,12200.0,85.71
Science,gemma3-12b,zero_shot,6,12,12,1.0,11823.25,11248.5,100.0
Science,gemma3-12b,zero_shot,7,13,11,0.8461538461538461,12580.923076923076,12025.0,84.62
Science,gemma3-12b,zero_shot,8,16,15,0.9375,12106.0625,11810.5,93.75
Science,gemma3-12b,zero_shot,9,8,8,1.0,11923.0,11650.5,100.0
Science,gemma3-12b,zero_shot,10,5,5,1.0,13514.2,13606.0,100.0
Science,gemma3-12b,zero_shot,11,11,10,0.9090909090909091,12311.727272727272,12157.0,90.91
Science,gemma3-12b,zero_shot,12,23,19,0.8260869565217391,12833.347826086956,12895.0,82.61
Science,gemma3-12b,zero_shot,13,29,27,0.9310344827586207,12237.862068965518,12097.0,93.1
Science,gemma3-12b,zero_shot,14,20,16,0.8,12612.15,12698.5,80.0
Science,gemma3-12b,zero_shot,15,15,15,1.0,12956.0,12210.0,100.0
Science,granite-8b,zero_shot,1,7,6,0.8571428571428571,6455.0,6903.0,85.71
Science,granite-8b,zero_shot,2,9,9,1.0,5773.222222222223,5819.0,100.0
Science,granite-8b,zero_shot,3,10,9,0.9,6551.7,6450.5,90.0
Science,granite-8b,zero_shot,4,15,15,1.0,6207.266666666666,6370.0,100.0
Science,granite-8b,zero_shot,5,7,7,1.0,6614.714285714285,6759.0,100.0
Science,granite-8b,zero_shot,6,12,12,1.0,7134.5,6923.0,100.0
Science,granite-8b,zero_shot,7,13,13,1.0,6637.2307692307695,6630.0,100.0
Science,granite-8b,zero_shot,8,16,15,0.9375,6740.0625,6757.0,93.75
Science,granite-8b,zero_shot,9,8,8,1.0,6801.25,6978.5,100.0
Science,granite-8b,zero_shot,10,5,4,0.8,7654.4,7610.0,80.0
Science,granite-8b,zero_shot,11,11,10,0.9090909090909091,6514.727272727273,6406.0,90.91
Science,granite-8b,zero_shot,12,23,19,0.8260869565217391,7091.913043478261,7128.0,82.61
Science,granite-8b,zero_shot,13,29,26,0.896551724137931,7178.413793103448,7354.0,89.66
Science,granite-8b,zero_shot,14,20,17,0.85,7047.7,7100.5,85.0
Science,granite-8b,zero_shot,15,15,14,0.9333333333333333,7068.0,6587.0,93.33
Science,phi4-14b,zero_shot,1,7,7,1.0,8520.42857142857,9018.0,100.0
Science,phi4-14b,zero_shot,2,9,9,1.0,8917.111111111111,9362.0,100.0
Science,phi4-14b,zero_shot,3,10,10,1.0,9027.0,8965.0,100.0
Science,phi4-14b,zero_shot,4,15,14,0.9333333333333333,8575.8,8281.0,93.33
Science,phi4-14b,zero_shot,5,7,7,1.0,9551.142857142857,9353.0,100.0
Science,phi4-14b,zero_shot,6,12,10,0.8333333333333334,8553.25,8106.0,83.33
Science,phi4-14b,zero_shot,7,13,13,1.0,9116.923076923076,9680.0,100.0
Science,phi4-14b,zero_shot,8,16,14,0.875,8547.75,8523.0,87.5
Science,phi4-14b,zero_shot,9,8,8,1.0,8862.875,9257.0,100.0
Science,phi4-14b,zero_shot,10,5,5,1.0,9599.4,9514.0,100.0
Science,phi4-14b,zero_shot,11,11,11,1.0,8056.909090909091,8201.0,100.0
Science,phi4-14b,zero_shot,12,23,20,0.8695652173913043,8953.739130434782,9345.0,86.96
Science,phi4-14b,zero_shot,13,29,29,1.0,9224.896551724138,9364.0,100.0
Science,phi4-14b,zero_shot,14,20,17,0.85,9015.45,8994.0,85.0
Science,phi4-14b,zero_shot,15,15,15,1.0,9251.6,8955.0,100.0
