Category,model_name,strategy_name,level,n_predictions,n_correct,accuracy,mean_latency_ms,median_latency_ms,accuracy_pct
News,granite-8b,wiki_rag,1,59,53,0.8983050847457628,8288.864406779661,8212.0,89.83
News,granite-8b,wiki_rag,2,43,39,0.9069767441860465,7883.0,7468.0,90.7
News,granite-8b,wiki_rag,3,31,27,0.8709677419354839,8570.774193548386,8289.0,87.1
News,granite-8b,wiki_rag,4,17,15,0.8823529411764706,8225.0,8144.0,88.24
News,granite-8b,wiki_rag,5,14,13,0.9285714285714286,8422.642857142857,8028.0,92.86
News,granite-8b,wiki_rag,6,14,11,0.7857142857142857,8496.857142857143,9111.5,78.57
News,granite-8b,wiki_rag,7,6,6,1.0,8128.166666666667,8038.5,100.0
News,granite-8b,wiki_rag,8,4,4,1.0,9091.25,9348.5,100.0
News,granite-8b,wiki_rag,9,4,4,1.0,7968.75,7798.0,100.0
News,granite-8b,wiki_rag,10,3,2,0.6666666666666666,6583.0,5535.0,66.67
News,granite-8b,wiki_rag,11,2,2,1.0,7374.5,7374.5,100.0
News,granite-8b,wiki_rag,12,2,1,0.5,9423.5,9423.5,50.0
News,granite-8b,wiki_rag,15,1,1,1.0,9946.0,9946.0,100.0
News,hermes4-14b,wiki_rag,1,59,45,0.7627118644067796,7170.338983050848,6491.0,76.27
News,hermes4-14b,wiki_rag,2,43,33,0.7674418604651163,7923.279069767442,7078.0,76.74
News,hermes4-14b,wiki_rag,3,31,25,0.8064516129032258,7363.645161290323,6858.0,80.65
News,hermes4-14b,wiki_rag,4,17,12,0.7058823529411765,7712.588235294118,8215.0,70.59
News,hermes4-14b,wiki_rag,5,14,14,1.0,6707.285714285715,6089.5,100.0
News,hermes4-14b,wiki_rag,6,14,14,1.0,8961.714285714286,8460.0,100.0
News,hermes4-14b,wiki_rag,7,6,6,1.0,7019.166666666667,7523.0,100.0
News,hermes4-14b,wiki_rag,8,4,4,1.0,8522.75,8153.0,100.0
News,hermes4-14b,wiki_rag,9,4,4,1.0,8216.75,7972.0,100.0
News,hermes4-14b,wiki_rag,10,3,2,0.6666666666666666,8237.0,6281.0,66.67
News,hermes4-14b,wiki_rag,11,2,1,0.5,7927.5,7927.5,50.0
News,hermes4-14b,wiki_rag,12,2,2,1.0,10702.0,10702.0,100.0
News,hermes4-14b,wiki_rag,15,1,0,0.0,11320.0,11320.0,0.0
News,qwen3-14b,wiki_rag,1,59,31,0.5254237288135594,9687.559322033898,9490.0,52.54
News,qwen3-14b,wiki_rag,2,43,21,0.4883720930232558,9662.232558139534,9565.0,48.84
News,qwen3-14b,wiki_rag,3,31,25,0.8064516129032258,9582.032258064517,9206.0,80.65
News,qwen3-14b,wiki_rag,4,17,12,0.7058823529411765,10451.058823529413,10462.0,70.59
News,qwen3-14b,wiki_rag,5,14,10,0.7142857142857143,8875.5,9382.5,71.43
News,qwen3-14b,wiki_rag,6,14,12,0.8571428571428571,10242.285714285714,10141.0,85.71
News,qwen3-14b,wiki_rag,7,6,6,1.0,9445.333333333334,9054.5,100.0
News,qwen3-14b,wiki_rag,8,4,3,0.75,10070.75,10729.0,75.0
News,qwen3-14b,wiki_rag,9,4,4,1.0,10857.0,11265.5,100.0
News,qwen3-14b,wiki_rag,10,3,2,0.6666666666666666,8554.666666666666,8058.0,66.67
News,qwen3-14b,wiki_rag,11,2,1,0.5,9850.5,9850.5,50.0
News,qwen3-14b,wiki_rag,12,2,0,0.0,9697.5,9697.5,0.0
News,qwen3-14b,wiki_rag,15,1,0,0.0,7731.0,7731.0,0.0
